name,citation,parcels covered,notes
Bel-Crest,"v158, p7, Oct 1940",12,listed
Dryad's Grove,"v164 p342, 29 July 1941",19,listed
High Ledge Homes,"v152, p224, 10 June 1940",84,listed
Hillside Homes,"v164, p168, 26 May 1941",41,listed
unnamed Asylum Ave Dev,"v154 p116, 17 June 1940; v150, p456, 20 May 1940",34,based on Google Map
TOTAL,TOTAL,190,
